,RR,TPP,SLP,comparedProfit
442,3,0.066,0.028000000000000004,-5514.999999999996
89,8,0.096,0.012,-5527.000000000004
35,8,0.08,0.01,-5529.999999999985
69,5,0.056,0.012,-5539.000000000015
319,5,0.096,0.022,-5544.0
320,5,0.09799999999999999,0.022,-5544.0
440,3,0.062000000000000006,0.028000000000000004,-5559.000000000004
354,4,0.074,0.024,-5567.000000000007
353,3,0.072,0.024,-5567.000000000007
642,3,0.09799999999999999,0.036000000000000004,-5612.999999999993
643,3,0.09999999999999999,0.036000000000000004,-5612.999999999993
641,3,0.096,0.036000000000000004,-5612.999999999993
88,8,0.094,0.012,-5643.000000000004
441,3,0.064,0.028000000000000004,-5653.0
318,5,0.094,0.022,-5660.0
227,6,0.096,0.018000000000000002,-5665.000000000011
303,3,0.064,0.022,-5679.000000000007
34,8,0.078,0.01,-5682.000000000004
228,6,0.09799999999999999,0.018000000000000002,-5687.000000000004
309,4,0.076,0.022,-5714.0
310,4,0.078,0.022,-5728.0
218,5,0.078,0.018000000000000002,-5738.0
217,5,0.076,0.018000000000000002,-5738.0
594,3,0.094,0.034,-5738.0
548,3,0.094,0.032,-5738.0
178,6,0.09,0.016,-5757.999999999993
449,3,0.08,0.028000000000000004,-5776.000000000007
225,6,0.092,0.018000000000000002,-5781.000000000011
226,6,0.094,0.018000000000000002,-5781.000000000011
174,6,0.082,0.016,-5795.999999999989
120,5,0.066,0.014,-5807.000000000011
90,9,0.09799999999999999,0.012,-5834.0
448,3,0.078,0.028000000000000004,-5834.0
446,3,0.074,0.028000000000000004,-5847.0
214,4,0.06999999999999999,0.018000000000000002,-5867.000000000022
311,4,0.08,0.022,-5874.0
211,4,0.064,0.018000000000000002,-5875.000000000018
72,6,0.062000000000000006,0.012,-5888.000000000015
263,4,0.076,0.02,-5890.0
133,7,0.092,0.014,-5890.000000000011
304,4,0.066,0.022,-5893.000000000007
689,3,0.09999999999999999,0.038,-5894.999999999993
688,3,0.09799999999999999,0.038,-5894.999999999993
687,3,0.096,0.038,-5894.999999999993
264,4,0.078,0.02,-5904.0
455,4,0.092,0.028000000000000004,-5909.000000000007
136,7,0.09799999999999999,0.014,-5918.000000000004
314,4,0.086,0.022,-5920.000000000004
315,4,0.088,0.022,-5920.000000000004
316,5,0.09,0.022,-5920.000000000004
210,4,0.062000000000000006,0.018000000000000002,-5922.000000000004
257,4,0.064,0.02,-5923.000000000022
302,3,0.062000000000000006,0.022,-5940.999999999996
453,4,0.088,0.028000000000000004,-5950.000000000004
454,4,0.09,0.028000000000000004,-5950.000000000004
445,3,0.072,0.028000000000000004,-5954.000000000007
125,6,0.076,0.014,-5957.000000000011
126,6,0.078,0.014,-5957.000000000011
305,4,0.068,0.022,-6029.000000000011
640,3,0.094,0.036000000000000004,-6032.999999999993
135,7,0.096,0.014,-6040.000000000007
444,3,0.06999999999999999,0.028000000000000004,-6070.000000000007
447,3,0.076,0.028000000000000004,-6072.0
502,4,0.094,0.03,-6085.0
175,6,0.08399999999999999,0.016,-6088.999999999993
176,6,0.086,0.016,-6088.999999999993
452,4,0.086,0.028000000000000004,-6101.000000000007
312,4,0.082,0.022,-6129.0
84,8,0.086,0.012,-6130.000000000015
121,5,0.068,0.014,-6131.000000000015
265,4,0.08,0.02,-6137.0
258,4,0.066,0.02,-6137.000000000022
213,4,0.068,0.018000000000000002,-6140.000000000022
306,4,0.06999999999999999,0.022,-6143.000000000022
